Plot Title: 20376534,,,,,,,
#,"Date Time, GMT-04:00","Temp, °F (LGR S/N: 20376534, SEN S/N: 20376534)",Coupler Detached (LGR S/N: 20376534),Coupler Attached (LGR S/N: 20376534),Host Connected (LGR S/N: 20376534),Stopped (LGR S/N: 20376534),End Of File (LGR S/N: 20376534)
298,07/14/18 10:36:31 PM,78.8,,,,,
299,07/15/18 12:36:31 AM,76.876,,,,,
300,07/15/18 02:36:31 AM,75.484,,,,,
301,07/15/18 04:36:31 AM,74.271,,,,,
302,07/15/18 06:36:31 AM,73.407,,,,,
303,07/15/18 08:36:31 AM,74.098,,,,,
304,07/15/18 10:36:31 AM,75.832,,,,,
305,07/15/18 12:36:31 PM,87.186,,,,,
306,07/15/18 02:36:31 PM,92.55,,,,,
307,07/15/18 04:36:31 PM,91.053,,,,,
308,07/15/18 06:36:31 PM,86.823,,,,,
309,07/15/18 08:36:31 PM,82.686,,,,,
310,07/15/18 10:36:31 PM,79.853,,,,,
311,07/16/18 12:36:31 AM,78.624,,,,,
312,07/16/18 02:36:31 AM,77.574,,,,,
313,07/16/18 04:36:31 AM,76.528,,,,,
314,07/16/18 06:36:31 AM,76.181,,,,,
315,07/16/18 08:36:31 AM,77.923,,,,,
316,07/16/18 10:36:31 AM,80.735,,,,,
317,07/16/18 12:36:31 PM,84.654,,,,,
318,07/16/18 02:36:31 PM,85.735,,,,,
319,07/16/18 04:36:31 PM,87.733,,,,,
320,07/16/18 06:36:31 PM,85.374,,,,,
321,07/16/18 08:36:31 PM,82.508,,,,,
322,07/16/18 10:36:31 PM,80.735,,,,,
323,07/17/18 12:36:31 AM,79.853,,,,,
324,07/17/18 02:36:31 AM,79.151,,,,,
325,07/17/18 04:36:31 AM,78.274,,,,,
326,07/17/18 06:36:31 AM,77.923,,,,,
327,07/17/18 08:36:31 AM,79.151,,,,,
328,07/17/18 10:36:31 AM,81.09,,,,,
329,07/17/18 12:36:31 PM,89.384,,,,,
330,07/17/18 02:36:31 PM,86.459,,,,,
331,07/17/18 04:36:31 PM,87.368,,,,,
332,07/17/18 06:36:31 PM,85.374,,,,,
333,07/17/18 08:36:31 PM,82.864,,,,,
334,07/17/18 10:36:31 PM,81.442,,,,,
335,07/18/18 12:36:31 AM,80.382,,,,,
336,07/18/18 02:36:31 AM,79.678,,,,,
337,07/18/18 04:36:31 AM,79.326,,,,,
338,07/18/18 06:36:31 AM,78.624,,,,,
339,07/18/18 08:36:31 AM,79.151,,,,,
340,07/18/18 10:36:31 AM,81.621,,,,,
341,07/18/18 12:36:31 PM,85.014,,,,,
342,07/18/18 02:36:31 PM,89.384,,,,,
343,07/18/18 04:36:31 PM,88.099,,,,,
344,07/18/18 06:36:31 PM,85.554,,,,,
345,07/18/18 08:36:31 PM,83.043,,,,,
346,07/18/18 10:36:31 PM,80.911,,,,,
347,07/19/18 12:36:31 AM,79.853,,,,,
348,07/19/18 02:36:31 AM,78.624,,,,,
349,07/19/18 04:36:31 AM,77.4,,,,,
350,07/19/18 06:36:31 AM,76.181,,,,,
351,07/19/18 08:36:31 AM,76.528,,,,,
352,07/19/18 10:36:31 AM,78.624,,,,,
353,07/19/18 12:36:31 PM,86.641,,,,,
354,07/19/18 02:36:31 PM,88.466,,,,,
355,07/19/18 04:36:31 PM,86.823,,,,,
356,07/19/18 06:36:31 PM,84.654,,,,,
357,07/19/18 08:36:31 PM,81.621,,,,,
358,07/19/18 10:36:31 PM,79.151,,,,,
359,07/20/18 12:36:31 AM,77.923,,,,,
360,07/20/18 02:36:31 AM,76.876,,,,,
361,07/20/18 04:36:31 AM,76.876,,,,,
