"Plot Title: 20376491"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376491, SEN S/N: 20376491)","Coupler Detached (LGR S/N: 20376491)","Bad Battery (LGR S/N: 20376491)","Coupler Attached (LGR S/N: 20376491)","Host Connected (LGR S/N: 20376491)","Stopped (LGR S/N: 20376491)","End Of File (LGR S/N: 20376491)"
398,07/22/19 09:36:52 AM,30.457,,,,,,
399,07/22/19 11:36:52 AM,41.458,,,,,,
400,07/22/19 01:36:52 PM,45.201,,,,,,
401,07/22/19 03:36:52 PM,42.401,,,,,,
402,07/22/19 05:36:52 PM,35.009,,,,,,
403,07/22/19 07:36:52 PM,31.166,,,,,,
404,07/22/19 09:36:52 PM,29.152,,,,,,
405,07/22/19 11:36:52 PM,28.258,,,,,,
406,07/23/19 01:36:52 AM,27.567,,,,,,
407,07/23/19 03:36:52 AM,26.977,,,,,,
408,07/23/19 05:36:52 AM,26.195,,,,,,
409,07/23/19 07:36:52 AM,27.468,,,,,,
410,07/23/19 09:36:52 AM,30.659,,,,,,
411,07/23/19 11:36:52 AM,36.728,,,,,,
412,07/23/19 01:36:52 PM,39.729,,,,,,
413,07/23/19 03:36:52 PM,41.810,,,,,,
414,07/23/19 05:36:52 PM,33.848,,,,,,
415,07/23/19 07:36:52 PM,30.760,,,,,,
416,07/23/19 09:36:52 PM,27.665,,,,,,
417,07/23/19 11:36:52 PM,26.977,,,,,,
418,07/24/19 01:36:52 AM,26.097,,,,,,
419,07/24/19 03:36:52 AM,25.416,,,,,,
420,07/24/19 05:36:52 AM,24.931,,,,,,
421,07/24/19 07:36:52 AM,25.125,,,,,,
422,07/24/19 09:36:52 AM,26.879,,,,,,
423,07/24/19 11:36:52 AM,29.352,,,,,,
424,07/24/19 01:36:52 PM,34.903,,,,,,
425,07/24/19 03:36:52 PM,32.394,,,,,,
426,07/24/19 05:36:52 PM,31.880,,,,,,
427,07/24/19 07:36:52 PM,27.665,,,,,,
428,07/24/19 09:36:52 PM,25.416,,,,,,
429,07/24/19 11:36:52 PM,25.125,,,,,,
430,07/25/19 01:36:52 AM,23.581,,,,,,
431,07/25/19 03:36:52 AM,22.142,,,,,,
432,07/25/19 05:36:52 AM,21.187,,,,,,
433,07/25/19 07:36:52 AM,21.951,,,,,,
434,07/25/19 09:36:52 AM,27.173,,,,,,
435,07/25/19 11:36:52 AM,40.071,,,,,,
436,07/25/19 01:36:52 PM,48.023,,,,,,
437,07/25/19 03:36:52 PM,41.692,,,,,,
438,07/25/19 05:36:52 PM,33.118,,,,,,
439,07/25/19 07:36:52 PM,29.252,,,,,,
440,07/25/19 09:36:52 PM,26.000,,,,,,
441,07/25/19 11:36:52 PM,25.125,,,,,,
442,07/26/19 01:36:52 AM,23.677,,,,,,
443,07/26/19 03:36:52 AM,22.908,,,,,,
444,07/26/19 05:36:52 AM,22.333,,,,,,
445,07/26/19 07:36:52 AM,23.484,,,,,,
446,07/26/19 09:36:52 AM,28.258,,,,,,
447,07/26/19 11:36:52 AM,35.756,,,,,,
448,07/26/19 01:36:52 PM,43.601,,,,,,
449,07/26/19 03:36:52 PM,39.615,,,,,,
450,07/26/19 05:36:52 PM,33.430,,,,,,
451,07/26/19 07:36:52 PM,29.352,,,,,,
452,07/26/19 09:36:52 PM,26.097,,,,,,
453,07/26/19 11:36:52 PM,24.545,,,,,,
454,07/27/19 01:36:52 AM,23.196,,,,,,
455,07/27/19 03:36:52 AM,22.142,,,,,,
456,07/27/19 05:36:52 AM,21.760,,,,,,
457,07/27/19 07:36:52 AM,22.333,,,,,,
458,07/27/19 09:36:52 AM,27.468,,,,,,
459,07/27/19 11:36:52 AM,38.490,,,,,,
460,07/27/19 01:36:52 PM,48.955,,,,,,
461,07/27/19 03:36:52 PM,41.225,,,,,,
462,07/27/19 05:36:52 PM,33.430,,,,,,
463,07/27/19 07:36:52 PM,29.152,,,,,,
464,07/27/19 09:36:52 PM,25.708,,,,,,
465,07/27/19 11:36:52 PM,23.773,,,,,,
466,07/28/19 01:36:52 AM,22.429,,,,,,
467,07/28/19 03:36:52 AM,21.473,,,,,,
468,07/28/19 05:36:52 AM,20.805,,,,,,
469,07/28/19 07:36:52 AM,21.760,,,,,,
470,07/28/19 09:36:52 AM,27.468,,,,,,
471,07/28/19 11:36:52 AM,36.946,,,,,,
472,07/28/19 01:36:52 PM,49.632,,,,,,
473,07/28/19 03:36:52 PM,41.341,,,,,,
474,07/28/19 05:36:52 PM,33.535,,,,,,
475,07/28/19 07:36:52 PM,28.853,,,,,,
476,07/28/19 09:36:52 PM,25.125,,,,,,
477,07/28/19 11:36:52 PM,23.388,,,,,,
478,07/29/19 01:36:52 AM,22.333,,,,,,
479,07/29/19 03:36:52 AM,21.473,,,,,,
480,07/29/19 05:36:52 AM,20.710,,,,,,
481,07/29/19 07:36:52 AM,21.473,,,,,,
482,07/29/19 09:36:52 AM,27.370,,,,,,
483,07/29/19 11:36:52 AM,35.756,,,,,,
484,07/29/19 01:36:52 PM,49.632,,,,,,
485,07/29/19 03:36:52 PM,41.458,,,,,,
486,07/29/19 05:36:52 PM,34.374,,,,,,
487,07/29/19 07:36:52 PM,29.752,,,,,,
488,07/29/19 09:36:52 PM,25.708,,,,,,
489,07/29/19 11:36:52 PM,23.773,,,,,,
490,07/30/19 01:36:52 AM,22.621,,,,,,
491,07/30/19 03:36:52 AM,21.855,,,,,,
