"Plot Title: 20376532"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376532, SEN S/N: 20376532)","Host Connected (LGR S/N: 20376532)","Coupler Detached (LGR S/N: 20376532)","Bad Battery (LGR S/N: 20376532)","Coupler Attached (LGR S/N: 20376532)","Stopped (LGR S/N: 20376532)","End Of File (LGR S/N: 20376532)"
316,07/16/19 12:57:09 PM,31.166,,,,,,
317,07/16/19 02:57:09 PM,30.356,,,,,,
318,07/16/19 04:57:09 PM,29.853,,,,,,
319,07/16/19 06:57:09 PM,28.754,,,,,,
320,07/16/19 08:57:09 PM,27.764,,,,,,
321,07/16/19 10:57:09 PM,27.075,,,,,,
322,07/17/19 12:57:09 AM,26.390,,,,,,
323,07/17/19 02:57:09 AM,25.708,,,,,,
324,07/17/19 04:57:09 AM,25.222,,,,,,
325,07/17/19 06:57:09 AM,24.931,,,,,,
326,07/17/19 08:57:09 AM,25.805,,,,,,
327,07/17/19 10:57:09 AM,28.754,,,,,,
328,07/17/19 12:57:09 PM,31.166,,,,,,
329,07/17/19 02:57:09 PM,31.064,,,,,,
330,07/17/19 04:57:09 PM,30.457,,,,,,
331,07/17/19 06:57:09 PM,29.252,,,,,,
332,07/17/19 08:57:09 PM,27.961,,,,,,
333,07/17/19 10:57:09 PM,27.272,,,,,,
334,07/18/19 12:57:09 AM,26.977,,,,,,
335,07/18/19 02:57:09 AM,26.683,,,,,,
336,07/18/19 04:57:09 AM,26.097,,,,,,
337,07/18/19 06:57:09 AM,25.708,,,,,,
338,07/18/19 08:57:09 AM,26.488,,,,,,
339,07/18/19 10:57:09 AM,28.655,,,,,,
340,07/18/19 12:57:09 PM,30.054,,,,,,
341,07/18/19 02:57:09 PM,31.778,,,,,,
342,07/18/19 04:57:09 PM,30.963,,,,,,
343,07/18/19 06:57:09 PM,29.352,,,,,,
344,07/18/19 08:57:09 PM,27.567,,,,,,
345,07/18/19 10:57:09 PM,27.075,,,,,,
