"","site","date","prec","date_parsed","month","day","year"
"292","ME","2015-10-19",0,2015-10-19,10,19,2015
"293","ME","2015-10-20",0,2015-10-20,10,20,2015
"294","ME","2015-10-21",0,2015-10-21,10,21,2015
"295","ME","2015-10-22",0,2015-10-22,10,22,2015
"296","ME","2015-10-23",0,2015-10-23,10,23,2015
"297","ME","2015-10-24",0,2015-10-24,10,24,2015
"298","ME","2015-10-25",0,2015-10-25,10,25,2015
"299","ME","2015-10-26",0,2015-10-26,10,26,2015
"300","ME","2015-10-27",11.5637,2015-10-27,10,27,2015
"301","ME","2015-10-28",6.4363,2015-10-28,10,28,2015
"302","ME","2015-10-29",0,2015-10-29,10,29,2015
"303","ME","2015-10-30",0,2015-10-30,10,30,2015
"304","ME","2015-10-31",0,2015-10-31,10,31,2015
"305","ME","2015-11-01",2.2045,2015-11-01,11,1,2015
"306","ME","2015-11-02",30.666,2015-11-02,11,2,2015
"307","ME","2015-11-03",12.9218,2015-11-03,11,3,2015
"308","ME","2015-11-04",2.2045,2015-11-04,11,4,2015
"309","ME","2015-11-05",0,2015-11-05,11,5,2015
"310","ME","2015-11-06",0,2015-11-06,11,6,2015
"311","ME","2015-11-07",22.2515,2015-11-07,11,7,2015
"312","ME","2015-11-08",3.5331,2015-11-08,11,8,2015
"313","ME","2015-11-09",55.8305,2015-11-09,11,9,2015
"314","ME","2015-11-10",4.3007,2015-11-10,11,10,2015
"315","ME","2015-11-11",0,2015-11-11,11,11,2015
"316","ME","2015-11-12",0,2015-11-12,11,12,2015
"317","ME","2015-11-13",0,2015-11-13,11,13,2015
"318","ME","2015-11-14",0,2015-11-14,11,14,2015
"319","ME","2015-11-15",0,2015-11-15,11,15,2015
"320","ME","2015-11-16",0,2015-11-16,11,16,2015
"321","ME","2015-11-17",0,2015-11-17,11,17,2015
"322","ME","2015-11-18",11.1996,2015-11-18,11,18,2015
"323","ME","2015-11-19",38.5588,2015-11-19,11,19,2015
"324","ME","2015-11-20",0,2015-11-20,11,20,2015
"325","ME","2015-11-21",4.2417,2015-11-21,11,21,2015
"326","ME","2015-11-22",10.3434,2015-11-22,11,22,2015
"327","ME","2015-11-23",0,2015-11-23,11,23,2015
"328","ME","2015-11-24",0,2015-11-24,11,24,2015
"329","ME","2015-11-25",0,2015-11-25,11,25,2015
"330","ME","2015-11-26",0,2015-11-26,11,26,2015
"331","ME","2015-11-27",0,2015-11-27,11,27,2015
"332","ME","2015-11-28",0,2015-11-28,11,28,2015
"333","ME","2015-11-29",0,2015-11-29,11,29,2015
"334","ME","2015-11-30",0,2015-11-30,11,30,2015
"335","ME","2015-12-01",1.5254,2015-12-01,12,1,2015
"336","ME","2015-12-02",4.222,2015-12-02,12,2,2015
