"Plot Title: GSP-BI"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376546, SEN S/N: 20376546)","Coupler Detached (LGR S/N: 20376546)","End Of File (LGR S/N: 20376546)"
221,06/18/23 10:13:56 AM,23.100,,
222,06/18/23 10:43:56 AM,23.292,,
223,06/18/23 11:13:56 AM,23.581,,
224,06/18/23 11:43:56 AM,23.966,,
225,06/18/23 12:13:56 PM,24.255,,
226,06/18/23 12:43:56 PM,24.641,,
227,06/18/23 01:13:56 PM,24.931,,
228,06/18/23 01:43:56 PM,25.319,,
229,06/18/23 02:13:56 PM,25.610,,
230,06/18/23 02:43:56 PM,25.805,,
231,06/18/23 03:13:56 PM,26.097,,
232,06/18/23 03:43:56 PM,26.195,,
233,06/18/23 04:13:56 PM,26.292,,
234,06/18/23 04:43:56 PM,26.292,,
235,06/18/23 05:13:56 PM,26.292,,
236,06/18/23 05:43:56 PM,26.195,,
237,06/18/23 06:13:56 PM,26.097,,
238,06/18/23 06:43:56 PM,26.097,,
239,06/18/23 07:13:56 PM,26.000,,
240,06/18/23 07:43:56 PM,25.902,,
241,06/18/23 08:13:56 PM,25.805,,
242,06/18/23 08:43:56 PM,25.610,,
243,06/18/23 09:13:56 PM,25.513,,
244,06/18/23 09:43:56 PM,25.319,,
245,06/18/23 10:13:56 PM,25.222,,
246,06/18/23 10:43:56 PM,25.125,,
247,06/18/23 11:13:56 PM,24.931,,
248,06/18/23 11:43:56 PM,24.835,,
249,06/19/23 12:13:56 AM,24.641,,
250,06/19/23 12:43:56 AM,24.545,,
251,06/19/23 01:13:56 AM,24.448,,
252,06/19/23 01:43:56 AM,24.351,,
253,06/19/23 02:13:56 AM,24.158,,
254,06/19/23 02:43:56 AM,24.062,,
255,06/19/23 03:13:56 AM,23.966,,
256,06/19/23 03:43:56 AM,23.869,,
257,06/19/23 04:13:56 AM,23.773,,
258,06/19/23 04:43:56 AM,23.677,,
259,06/19/23 05:13:56 AM,23.677,,
260,06/19/23 05:43:56 AM,23.581,,
261,06/19/23 06:13:56 AM,23.484,,
262,06/19/23 06:43:56 AM,23.388,,
263,06/19/23 07:13:56 AM,23.388,,
264,06/19/23 07:43:56 AM,23.388,,
265,06/19/23 08:13:56 AM,23.292,,
266,06/19/23 08:43:56 AM,23.388,,
267,06/19/23 09:13:56 AM,23.388,,
268,06/19/23 09:43:56 AM,23.581,,
269,06/19/23 10:13:56 AM,23.773,,
270,06/19/23 10:43:56 AM,23.966,,
271,06/19/23 11:13:56 AM,24.158,,
272,06/19/23 11:43:56 AM,24.448,,
273,06/19/23 12:13:56 PM,24.835,,
274,06/19/23 12:43:56 PM,25.125,,
275,06/19/23 01:13:56 PM,25.319,,
276,06/19/23 01:43:56 PM,25.610,,
277,06/19/23 02:13:56 PM,25.805,,
278,06/19/23 02:43:56 PM,26.000,,
279,06/19/23 03:13:56 PM,26.195,,
280,06/19/23 03:43:56 PM,26.292,,
281,06/19/23 04:13:56 PM,26.292,,
282,06/19/23 04:43:56 PM,26.292,,
283,06/19/23 05:13:56 PM,26.292,,
284,06/19/23 05:43:56 PM,26.195,,
285,06/19/23 06:13:56 PM,26.097,,
286,06/19/23 06:43:56 PM,26.000,,
287,06/19/23 07:13:56 PM,25.902,,
288,06/19/23 07:43:56 PM,25.708,,
289,06/19/23 08:13:56 PM,25.610,,
290,06/19/23 08:43:56 PM,25.513,,
