"Plot Title: 20376544"
"#","Date Time, GMT-04:00","Temp, °C (LGR S/N: 20376544, SEN S/N: 20376544)","Coupler Detached (LGR S/N: 20376544)","Bad Battery (LGR S/N: 20376544)","Coupler Attached (LGR S/N: 20376544)","End Of File (LGR S/N: 20376544)"
256,07/11/19 11:45:11 AM,26.488,,,,
257,07/11/19 01:45:11 PM,29.053,,,,
258,07/11/19 03:45:11 PM,27.862,,,,
259,07/11/19 05:45:11 PM,27.468,,,,
260,07/11/19 07:45:11 PM,26.879,,,,
261,07/11/19 09:45:11 PM,26.097,,,,
262,07/11/19 11:45:11 PM,25.610,,,,
263,07/12/19 01:45:11 AM,25.416,,,,
264,07/12/19 03:45:11 AM,25.222,,,,
265,07/12/19 05:45:11 AM,24.931,,,,
266,07/12/19 07:45:11 AM,24.835,,,,
267,07/12/19 09:45:11 AM,25.416,,,,
268,07/12/19 11:45:11 AM,27.468,,,,
269,07/12/19 01:45:11 PM,30.558,,,,
270,07/12/19 03:45:11 PM,29.652,,,,
271,07/12/19 05:45:11 PM,28.555,,,,
272,07/12/19 07:45:11 PM,27.764,,,,
273,07/12/19 09:45:11 PM,26.683,,,,
274,07/12/19 11:45:11 PM,26.097,,,,
275,07/13/19 01:45:11 AM,25.708,,,,
276,07/13/19 03:45:11 AM,25.319,,,,
277,07/13/19 05:45:11 AM,25.028,,,,
278,07/13/19 07:45:11 AM,24.835,,,,
279,07/13/19 09:45:11 AM,25.513,,,,
280,07/13/19 11:45:11 AM,27.862,,,,
281,07/13/19 01:45:11 PM,30.659,,,,
282,07/13/19 03:45:11 PM,26.977,,,,
283,07/13/19 05:45:11 PM,25.902,,,,
284,07/13/19 07:45:11 PM,25.416,,,,
285,07/13/19 09:45:11 PM,24.931,,,,
286,07/13/19 11:45:11 PM,24.545,,,,
287,07/14/19 01:45:11 AM,24.448,,,,
288,07/14/19 03:45:11 AM,24.351,,,,
289,07/14/19 05:45:11 AM,24.062,,,,
290,07/14/19 07:45:11 AM,23.966,,,,
