"","quad","site","num_news","num_fr","key_qsy","startyear","TSF","TBF"
"264","west-1","GSP-BI",4,0,"west-1_GSP-BI_2022",2022,6,3
"265","west-3","GSP-BI",0,0,"west-3_GSP-BI_2022",2022,6,3
"266","north-11","GSP-LI",2,0,"north-11_GSP-LI_2022",2022,0,2
"267","25","IA",0,16,"25_IA_2022",2022,0,2
"268","1","ME",0,0,"1_ME_2022",2022,0,2
"269","2","ME",0,0,"2_ME_2022",2022,0,2
"270","3","ME",0,0,"3_ME_2022",2022,0,2
"271","7","CH",0,16,"7_CH_2022",2022,2,15
"272","11","CH",0,0,"11_CH_2022",2022,2,15
"273","south-3","GSP-LI",4,7,"south-3_GSP-LI_2022",2022,0,2
"274","20","B2",0,33,"20_B2_2022",2022,15,12
"275","1","CH",0,0,"1_CH_2022",2022,2,15
"276","2","CH",0,7,"2_CH_2022",2022,2,15
"277","12","CH",0,3,"12_CH_2022",2022,2,15
"278","16","IA",0,7,"16_IA_2022",2022,0,2
"279","17","IA",0,13,"17_IA_2022",2022,0,2
"280","28","IA",0,0,"28_IA_2022",2022,0,2
"281","14","B2",0,0,"14_B2_2023",2023,16,12
"282","20","B2",0,0,"20_B2_2023",2023,16,12
"283","1","CH",0,0,"1_CH_2023",2023,3,15
"284","3","CH",0,0,"3_CH_2023",2023,3,15
"285","4","CH",0,31,"4_CH_2023",2023,3,15
"286","east-2","GSP-BI",0,0,"east-2_GSP-BI_2023",2023,7,3
"287","east-3","GSP-BI",0,0,"east-3_GSP-BI_2023",2023,7,3
"288","west-3","GSP-BI",0,0,"west-3_GSP-BI_2023",2023,7,3
"289","south-7","GSP-LI",0,0,"south-7_GSP-LI_2023",2023,1,2
"290","2","IA",0,0,"2_IA_2023",2023,1,2
"291","16","IA",0,0,"16_IA_2023",2023,1,2
"292","25","IA",0,0,"25_IA_2023",2023,1,2
"293","26","IA",0,0,"26_IA_2023",2023,1,2
"294","7","CH",0,0,"7_CH_2023",2023,3,15
"295","east-3","GSP-BI",0,0,"east-3_GSP-BI_2023",2023,7,3
"296","21","IA",0,0,"21_IA_2023",2023,1,2
"297","11","B2",0,31,"11_B2_2023",2023,16,12
"298","south-10","GSP-LI",4,0,"south-10_GSP-LI_2023",2023,1,2
"299","south-20","GSP-LI",0,0,"south-20_GSP-LI_2023",2023,1,2
"300","5","B2",0,0,"5_B2_2023",2023,16,12
"301","2","CH",0,0,"2_CH_2023",2023,3,15
"302","28","IA",0,0,"28_IA_2023",2023,1,2
