,site_ID,site,ID,quad,mark,x,y,Date_Marked2015,N15,L15,size15,CT15,FR15,DT15,Notes15,Comm15,libsur15_16,consur15_16,Total.leaves.including.brown.ones2015,N.DEAD15,date16,N16,L16,size16,CT16,FR16,DT16,Notes16,Comm16,libsur16_17,consur16_17,date17,N17,L17,size17,CT17,FR17,DT17,Notes17,Comm17,libsur17_18,consur17_18,N18,L18,size18,FR18,Notes18,Comm18,include.in.19.census,N19,L19,FR19,Notes19,Comm19,libsur18_19,size19,N20,L20,FR20,FLW20,Notes20,Comm20,libsur19_20,size20,N21,L21,FR21,FLW21,Notes21,Comm21,libsur20_21,size21,N22,L22,FR22,FLW22,Notes22,Comm22,Measurer22,libsur21_22,size22,N23,L23,FR23,FLW23,Notes23,Comm23,Measurer23,libsur22_23,size23,N24,L24,FR24,FLW24,Note24,Comm24,libsur23_24,size24,Note25,N25,L25,FR25,FLW25,Comm25,libsur24_25,libsur24_25_tpry,size25,libsur15_16_tpry,libsur16_17_tpry,libsur17_18_tpry,libsur18_19_tpry,libsur19_20_tpry,libsur20_21_tpry,libsur21_22_tpry,libsur22_23_tpry,libsur23_24_tpry
158,GSP-BI_10.1,GSP-BI,10.1,E,gd,13,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,15,,,,missed,1,90,3,9,,,,,wfm,1,27,0,,,,,new lvs,gage,1,0,,,9,1,,sen,1,,,7,27,,,,1,1,189,,,,,,1,1,1,1
159,GSP-BI_21.18.,GSP-BI,21.18.,W,bp,195,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,14,,,,miss,1,140,0,,,,,new lvs,tl,1,0,2,9,,,,,gage,1,18,,,,,dead24,,0,,dead24,0,,,,,,,0,,,,,,1,1,1,0
160,GSP-BI_21.21.,GSP-BI,21.21.,W,rh,222,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,32,,,,miss,1,192,1,15,0,0,,,tl,1,15,0,,,,,new lvs,gage,1,0,3,17,,,,inf herb,1,51,,7,17,,,,1,1,119,,,,,,1,1,1,1
161,GSP-LI_21.7.,GSP-LI,21.7.,N,rh,475,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,new,1,40,4,6,,,,,nzk,1,24,0,,,,,new lvs,gage,1,0,,,,,dead24,,0,,dead24,0,,,,,,,0,,,,,,1,1,1,0
162,B2_22.1.,B2,22.1.,1,rh,33,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"new, new lvs or notdone22",as,1,0,,,,,mpd23,qns25-50,gage,0,0,,,,,dead24,,,,dead24,,,,,m25,,,,,,,,,,1,0,
163,CM_22.5.,CM,22.5.,7,bd,8,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,8,,,,missed,wfm,1,48,6,10,,,,,gage,1,60,1,11,,,,new lvs,1,11,,4,9,,,"oldx=10, oldy=43, Under Pinguicula",1,1,36,,,,,,,1,1,1
164,GSP-BI_22.1.,GSP-BI,22.1.,E,rd,80,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,12,3,4,,missed; other lvs sen; inf imm,wfm,1,12,0,,,,,new lvs,aml,1,0,4,30,10,4,,,1,120,,3,72,,,,1,1,216,,,,,,,1,1,1
165,GSP-BI_22.3.,GSP-BI,22.3.,E,rd,102,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,43,,,,missed,wfm,1,129,0,,,,,new lvs,aml,1,0,5,18,2,2,,,1,90,,4,40,,,,1,1,160,,,,,,,1,1,1
166,GSP-BI_23.2.,GSP-BI,23.2.,W,yh.2,17,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"new lvs, missed",nzk,1,0,3,11,11,,,,1,33,,5,59,3,,,1,1,295,,,,,,,,1,1
167,GSP-BI_23.11.,GSP-BI,23.11.,W,gd,72,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,"new, new lvs",nzk,1,0,9,22,8,,,,1,198,,7,39,,,,1,1,273,,,,,,,,1,1
168,GSP-BI_23.12.,GSP-BI,23.12.,W,wp,123,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,new lvs,gage,1,0,8,25,,,,,1,200,,10,28,,,,1,1,280,,,,,,,,1,1
169,B1_24.4.,B1,24.4.,4,rd,18,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,18,,,,missed,1,72,,0,,,,new lvs,1,1,0,,,,,,,,,1
170,B1_24.11.,B1,24.11.,6,yd,41,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,21,,,,missed,1,84,,0,,,,new lvs,1,1,0,,,,,,,,,1
